RAM_GB,Storage_GB,Age_In_Months,Battery_Capacity_mAh,Camera_MP,Cover_Color_ID,IMEI_Last_Digit,Pincode_Last_Digit,Resale_Price_INR
12,512,5.0,4500,108,2,2,3,55010.0
12,128,22.9,3000,108,4,4,0,29522.0
4,256,55.3,4500,12,1,6,7,10045.0
6,128,35.5,5000,48,1,3,3,18979.0
4,128,32.8,4500,12,5,4,5,12651.0
4,32,16.9,3000,50,5,2,2,6886.0
3,256,22.7,3000,48,2,8,5,19086.0
6,64,53.8,4500,64,4,9,8,6033.0
6,256,40.3,4000,108,2,8,8,12767.0
3,256,47.5,5000,50,4,6,9,9464.0
4,256,27.8,5000,48,6,9,2,24362.0
12,32,38.2,4500,12,1,1,2,15843.0
4,64,15.7,4000,108,2,6,3,17018.0
4,64,42.6,3000,12,5,6,6,2500.0
6,64,26.2,6000,48,2,4,2,17502.0
12,32,27.1,6000,48,6,8,9,30036.0
4,512,39.3,4500,50,2,2,7,18900.0
6,128,56.2,4000,64,1,3,7,8650.0
8,64,4.8,4000,12,6,0,5,21481.0
4,64,49.7,5000,50,5,5,3,5990.0
8,128,18.3,3000,108,5,3,4,27050.0
4,128,27.2,4000,64,3,0,1,19323.0
6,128,2.3,6000,50,6,1,5,23209.0
6,512,18.8,3000,12,3,2,2,31780.0
6,128,30.7,3000,48,3,8,5,13866.0
3,512,4.3,4500,108,1,7,4,40255.0
8,256,30.0,4000,12,2,6,1,33373.0
4,64,55.7,4500,64,5,3,4,6601.0
4,512,7.2,4000,64,5,0,4,39425.0
3,64,46.1,5000,48,2,7,8,5888.0
6,256,25.2,4500,48,5,3,7,25672.0
6,64,39.7,4500,108,2,2,6,7745.0
3,256,16.4,6000,108,6,8,2,27168.0
6,256,10.4,4500,48,1,9,9,28508.0
4,256,10.5,4000,48,1,3,3,25665.0
6,256,5.2,6000,64,1,3,5,27280.0
4,64,12.0,4500,48,2,8,2,13537.0
6,32,40.2,4500,50,2,1,8,8398.0
4,128,53.0,5000,12,4,4,7,7524.0
12,64,49.0,4500,48,5,3,5,16482.0
4,128,41.4,3000,108,5,8,3,4653.0
4,64,7.5,6000,50,4,4,6,19526.0
4,512,18.1,3000,108,4,8,2,33126.0
12,128,19.3,6000,50,1,8,9,34833.0
8,256,15.7,5000,48,4,1,7,35331.0
4,64,31.4,4500,12,2,8,0,10248.0
6,256,32.6,4500,108,3,2,2,25795.0
8,512,22.1,4500,50,2,3,4,46025.0
6,128,21.9,6000,64,4,0,4,23010.0
6,128,49.9,4500,48,5,0,9,10566.0
4,256,47.6,3000,12,2,0,1,6408.0
3,64,19.2,4500,48,5,8,9,12923.0
8,128,54.9,5000,64,2,7,7,14597.0
12,64,57.2,3000,12,5,4,4,12398.0
6,64,20.3,4500,64,6,4,6,15171.0
4,64,21.9,4500,48,2,8,6,14331.0
4,32,30.8,4000,50,5,2,4,15380.0
8,32,56.5,6000,48,3,2,7,12879.0
8,64,52.7,3000,48,1,6,8,7504.0
8,512,7.1,4000,48,2,8,3,45028.0
8,128,24.2,5000,108,3,5,3,33312.0
6,512,33.6,6000,64,1,1,7,40151.0
3,128,30.7,3000,64,2,0,0,9962.0
4,64,12.4,4500,64,3,1,3,15441.0
8,128,51.7,3000,108,3,0,5,10959.0
6,128,40.9,4500,50,6,9,3,6317.0
3,64,50.4,6000,48,3,9,5,7385.0
4,128,51.7,4500,50,6,8,4,7734.0
6,64,45.2,5000,108,4,9,8,9471.0
3,128,26.9,4500,64,5,7,9,16777.0
4,128,37.0,5000,48,1,6,8,8636.0
6,64,10.5,6000,12,5,2,3,14171.0
6,32,40.7,6000,12,5,7,3,8112.0
6,256,11.6,3000,50,6,1,7,20141.0
4,128,41.9,5000,64,5,1,9,7234.0
8,32,14.5,5000,12,3,9,3,22004.0
4,512,7.9,4000,50,6,2,1,34577.0
4,32,10.8,4000,108,5,6,1,14306.0
8,128,1.1,4000,50,6,0,0,28032.0
6,512,43.4,4500,50,4,7,4,18047.0
8,64,44.2,4000,50,6,6,5,11630.0
6,64,31.4,5000,48,2,3,8,17521.0
6,64,10.5,4500,50,3,4,4,18055.0
3,64,5.9,6000,50,1,9,5,14730.0
4,64,2.1,3000,48,2,0,5,9997.0
4,128,10.8,4000,48,2,3,2,19435.0
4,32,53.6,6000,108,2,0,3,6291.0
12,128,15.3,5000,64,5,0,0,31239.0
4,512,21.9,3000,12,6,9,3,30482.0
8,256,7.2,6000,12,6,0,0,33751.0
6,128,14.1,3000,50,5,6,4,14109.0
8,64,31.6,4000,108,3,6,7,25033.0
6,128,36.9,5000,50,5,3,7,11059.0
6,128,15.5,3000,12,5,1,4,16957.0
6,128,4.4,6000,48,5,2,9,24331.0
4,64,24.1,4000,64,3,7,1,14287.0
8,256,14.8,4000,108,3,7,5,39441.0
4,128,14.0,6000,48,4,5,0,20361.0
3,64,57.6,6000,64,4,9,6,4685.0
6,64,37.4,3000,108,4,8,3,4067.0
4,128,33.9,4500,108,4,8,4,17546.0
12,256,25.5,4000,12,6,3,5,34446.0
12,256,26.3,3000,48,2,0,0,30774.0
12,256,32.9,6000,108,2,0,8,39986.0
4,32,42.1,3000,108,4,9,9,3068.0
3,128,42.4,6000,64,4,4,3,9965.0
12,128,11.1,5000,12,1,1,7,30003.0
6,32,30.5,6000,50,2,5,4,15005.0
12,64,25.3,6000,12,1,6,7,29065.0
12,256,52.4,6000,50,1,0,0,21683.0
8,64,38.3,4500,48,5,5,7,15632.0
4,128,32.4,6000,48,6,7,3,17395.0
4,64,7.8,4000,108,3,4,1,18925.0
8,32,36.7,4000,48,2,6,5,13644.0
4,64,7.9,3000,108,4,9,1,13343.0
4,512,20.9,4500,12,4,5,4,35317.0
6,256,9.4,3000,48,3,3,1,21973.0
12,512,41.8,4000,12,2,6,2,24513.0
6,128,13.2,4000,12,4,9,5,17651.0
6,64,24.1,5000,48,4,8,0,16399.0
3,128,53.8,6000,12,5,9,5,7276.0
6,128,13.1,4000,48,1,9,2,24017.0
12,256,31.0,3000,48,4,6,6,31590.0
4,32,25.7,3000,48,6,4,1,5316.0
6,128,2.1,6000,50,2,6,5,25088.0
8,64,47.8,6000,12,6,2,7,15887.0
8,64,5.1,5000,64,3,1,0,24979.0
6,256,29.0,4500,48,5,4,8,26219.0
8,128,34.1,3000,12,2,3,4,21686.0
4,64,38.1,6000,108,5,4,4,8343.0
4,64,41.6,3000,48,1,7,4,2500.0
8,128,15.9,6000,48,4,3,5,28416.0
8,256,1.6,4000,64,2,8,1,36549.0
8,256,43.7,3000,50,3,6,5,13866.0
12,512,32.6,4000,50,1,9,3,45724.0
6,256,50.3,3000,48,1,6,7,7601.0
6,64,49.5,4500,12,5,7,8,4088.0
8,128,50.8,5000,108,1,5,8,18310.0
6,128,29.6,4000,108,2,7,7,18774.0
8,64,20.7,6000,12,5,2,2,21026.0
8,256,47.7,4500,48,1,9,9,16358.0
8,32,27.6,3000,108,3,9,3,18968.0
4,512,11.8,4000,50,6,0,0,37634.0
4,128,51.4,3000,12,2,5,8,2500.0
3,128,53.1,3000,64,3,0,4,2500.0
6,128,28.5,3000,48,3,8,5,13947.0
3,256,5.5,5000,12,5,1,2,25181.0
6,128,23.9,5000,108,4,1,9,19914.0
6,128,48.4,6000,48,5,6,7,9952.0
4,32,54.2,4000,50,2,1,6,2500.0
6,128,13.0,4500,48,2,9,0,20873.0
3,64,5.0,4500,48,5,7,9,15978.0
3,256,52.8,4500,50,4,5,4,11126.0
8,128,24.0,3000,50,5,6,9,23874.0
4,128,33.0,5000,48,2,6,8,18595.0
4,32,58.1,4000,50,4,5,5,7596.0
6,32,4.9,3000,12,2,9,7,10129.0
8,256,39.3,5000,50,4,8,9,22355.0
4,32,5.4,5000,50,4,8,0,13254.0
6,32,23.2,4000,48,5,6,9,14080.0
3,32,48.4,4000,12,5,8,6,3970.0
3,512,26.6,4000,64,5,9,2,34030.0
6,256,59.8,3000,64,4,2,8,3626.0
6,64,34.0,6000,108,4,2,5,19825.0
6,64,19.9,4000,50,2,0,4,14909.0
8,64,14.0,6000,50,3,4,7,25780.0
12,256,21.7,3000,12,5,3,7,34202.0
6,128,23.0,6000,64,6,1,2,22140.0
4,64,5.1,4500,108,2,8,1,20246.0
8,64,22.8,6000,12,2,2,1,24716.0
4,32,28.4,4000,50,1,7,4,12862.0
6,128,43.6,3000,64,5,5,9,4253.0
3,256,39.7,4000,108,2,4,6,10257.0
3,64,42.8,4500,48,1,0,7,6735.0
12,32,1.5,4000,64,6,3,9,27947.0
8,32,13.8,4000,108,6,2,7,25899.0
6,512,40.0,4000,12,5,0,7,17123.0
6,64,29.6,5000,48,4,4,9,16012.0
4,256,1.3,4500,108,1,5,2,27392.0
4,128,48.5,4000,108,4,1,1,10097.0
4,64,46.6,4000,50,6,2,3,5450.0
6,64,33.4,4000,64,6,5,0,17432.0
8,64,4.9,3000,50,3,3,2,19349.0
6,128,46.2,5000,48,3,8,8,9476.0
4,256,35.4,3000,108,3,4,6,18573.0
12,128,47.1,5000,50,3,3,6,19738.0
8,128,45.4,4000,64,2,1,0,14718.0
6,32,48.4,4500,48,3,5,6,5310.0
6,512,31.6,6000,12,2,9,9,36351.0
6,256,9.3,6000,50,2,1,6,28512.0
4,64,40.6,4000,48,5,6,3,7183.0
4,512,37.6,3000,12,2,2,6,13400.0
8,128,44.8,4500,50,2,8,7,15742.0
3,128,11.0,5000,48,3,4,2,16967.0
4,256,12.5,4000,48,2,7,9,24022.0
3,256,53.5,4500,50,4,5,1,9948.0
3,128,45.2,4500,48,3,9,6,7789.0
8,64,54.6,5000,108,1,7,4,15312.0
8,64,45.8,4500,50,3,2,4,16929.0
6,512,36.2,3000,48,2,2,4,14330.0
3,64,39.6,3000,12,4,4,6,2500.0
6,64,53.5,3000,12,3,9,8,2500.0
6,128,35.1,4500,108,4,2,7,19938.0
4,128,38.3,3000,50,1,7,5,4149.0
6,128,10.2,5000,48,6,9,6,20390.0
4,512,29.0,4500,48,1,7,8,36236.0
6,64,43.3,6000,12,6,1,5,9188.0
6,64,17.0,4500,108,5,3,0,17953.0
3,64,12.9,5000,12,6,9,3,14106.0
4,256,19.5,6000,12,5,0,7,20677.0
6,128,15.2,4500,108,3,3,6,21742.0
6,64,13.7,3000,50,5,3,2,11267.0
8,256,26.1,4000,48,4,9,9,33535.0
6,256,54.6,4000,50,5,8,2,11213.0
4,256,30.9,3000,64,4,2,2,18859.0
3,512,12.1,4000,64,6,1,0,36185.0
6,64,5.5,4000,64,6,8,9,18456.0
3,256,42.1,3000,108,6,8,0,4465.0
6,128,23.6,3000,12,5,0,5,13440.0
12,256,49.5,4500,50,6,5,0,19565.0
6,256,39.9,4500,48,5,9,4,14075.0
4,256,48.0,3000,64,5,7,3,5211.0
6,128,17.0,5000,50,2,2,4,22029.0
6,64,41.8,4000,64,2,8,6,7469.0
6,128,16.6,4500,64,5,1,5,17850.0
12,512,56.4,4000,48,4,5,8,25549.0
4,512,38.5,6000,108,3,0,5,20550.0
12,32,20.1,3000,12,1,6,8,21935.0
12,64,16.9,5000,108,2,2,3,29139.0
4,64,12.3,6000,50,5,6,0,18863.0
3,256,42.0,6000,108,1,3,0,12204.0
4,256,13.9,6000,50,2,8,9,27315.0
3,64,36.1,3000,50,3,4,6,2500.0
3,128,16.6,4500,12,4,2,2,15347.0
6,256,40.1,3000,48,5,7,1,8342.0
3,256,49.1,4500,12,3,5,5,9447.0
4,128,46.9,6000,108,2,1,5,4963.0
8,128,45.9,6000,50,5,2,6,16228.0
3,128,12.1,5000,64,1,7,4,15407.0
8,64,6.2,4500,64,6,9,7,24617.0
4,128,42.2,6000,50,4,6,6,6556.0
4,128,22.7,4000,12,2,9,1,17840.0
6,256,26.5,5000,48,4,5,0,28289.0
6,128,2.8,3000,12,5,0,8,15445.0
8,256,16.3,5000,50,6,8,4,34650.0
8,64,3.0,4000,50,3,2,4,25704.0
8,128,52.9,4500,48,4,4,9,17303.0
4,32,15.4,3000,108,1,6,3,7036.0
4,64,33.9,3000,108,2,6,1,8517.0
8,256,3.3,4500,48,1,2,4,37082.0
8,512,40.3,5000,108,4,3,1,28625.0
12,32,20.1,6000,64,6,9,6,29600.0
6,128,54.0,5000,108,3,6,8,8093.0
4,256,53.4,4000,108,3,7,8,12968.0
8,64,20.2,6000,108,1,1,5,29667.0
4,128,54.2,5000,64,5,8,0,9071.0
12,256,59.8,4500,108,5,6,5,17688.0
8,128,49.7,4000,64,6,7,4,15959.0
6,64,50.8,4000,48,3,5,3,7764.0
8,64,15.7,4000,12,1,5,5,22731.0
8,256,35.0,6000,48,1,8,5,34518.0
4,128,5.0,3000,12,1,3,5,11992.0
12,32,6.6,6000,48,4,4,1,28020.0
6,256,59.9,5000,12,6,8,6,13448.0
8,32,20.3,3000,12,5,0,3,17061.0
4,256,45.1,5000,50,5,3,8,9685.0
8,64,48.6,3000,12,4,6,9,6971.0
4,512,51.6,6000,12,2,8,1,16024.0
3,64,59.9,4000,50,4,9,4,3772.0
12,64,15.2,4500,108,6,5,3,31040.0
3,64,3.4,4000,108,1,7,8,17098.0
4,64,25.3,6000,50,4,8,3,16206.0
12,256,8.7,3000,64,1,9,7,33301.0
12,512,2.3,4000,12,6,3,7,52355.0
6,64,22.3,6000,12,6,0,5,18421.0
6,128,47.2,5000,50,3,7,5,8670.0
6,256,34.4,4500,50,1,1,7,23600.0
4,256,19.5,4000,64,5,0,9,24514.0
4,128,39.6,3000,108,4,6,8,7676.0
6,64,14.7,5000,48,6,9,4,15877.0
8,128,1.8,6000,108,1,8,0,31503.0
8,128,46.1,4500,12,2,8,0,15422.0
8,32,37.8,3000,50,3,2,1,10050.0
3,128,46.0,6000,64,2,5,9,5243.0
6,64,3.3,6000,108,6,6,9,22935.0
3,256,50.4,4000,64,2,9,4,12383.0
6,32,37.6,4000,108,2,8,3,6881.0
6,128,34.2,3000,12,3,1,0,16481.0
8,128,37.9,6000,48,3,7,3,18647.0
4,128,52.0,4000,64,3,6,3,9442.0
4,32,35.6,4500,64,3,3,9,14051.0
4,128,35.3,4500,48,2,1,3,18356.0
8,128,59.5,6000,64,5,7,0,16149.0
6,128,45.6,4000,64,5,4,8,8753.0
4,128,27.1,3000,108,3,5,2,12457.0
3,128,42.7,3000,108,4,6,3,2944.0
8,256,24.0,3000,48,1,9,4,28256.0
3,64,14.5,4500,12,6,0,6,13098.0
8,256,36.2,4000,64,4,7,5,21909.0
8,128,55.8,4000,12,6,3,4,11596.0
3,32,55.8,4500,48,4,8,7,6605.0
3,32,21.2,3000,48,4,0,0,5228.0
12,64,32.1,3000,108,5,1,6,24113.0
4,256,13.5,6000,64,1,5,5,25354.0
4,256,59.7,5000,50,4,9,4,13542.0
8,256,58.9,4000,48,3,0,6,17615.0
12,128,39.3,4000,64,6,3,2,18969.0
12,128,48.5,4000,12,5,7,0,17901.0
8,64,43.2,5000,108,6,9,8,13752.0
4,64,36.0,6000,12,3,4,1,13335.0
3,128,4.1,5000,48,3,8,9,20315.0
8,32,27.8,3000,48,4,5,2,15904.0
6,64,40.8,3000,12,3,0,7,3591.0
6,128,41.0,4000,48,1,5,9,8384.0
12,256,23.0,4500,64,3,5,8,40224.0
4,512,56.6,4000,48,4,5,2,19479.0
6,512,10.9,4500,108,6,7,5,38558.0
3,128,30.5,5000,64,3,5,6,14871.0
6,128,41.8,3000,50,5,4,0,3822.0
3,128,42.1,4500,48,5,1,6,9733.0
4,256,39.3,5000,48,5,3,3,12348.0
4,64,17.2,3000,108,6,9,4,9594.0
6,128,10.2,4500,108,2,4,7,23441.0
8,256,38.5,4000,12,5,9,3,17269.0
6,64,36.4,4000,12,5,3,3,8231.0
12,128,11.6,4000,12,2,1,7,31842.0
4,128,42.6,5000,108,6,6,4,7739.0
4,64,27.9,4000,12,5,9,5,12433.0
8,64,40.4,6000,12,4,9,4,16401.0
4,64,50.4,3000,50,6,1,0,2500.0
12,32,11.0,5000,12,5,0,6,27531.0
3,32,2.1,4000,48,5,4,5,11409.0
12,256,47.0,3000,108,2,0,1,17317.0
3,64,37.0,4500,64,4,0,6,7068.0
8,128,42.3,4000,50,6,0,5,18879.0
6,64,50.5,3000,108,3,5,4,3363.0
12,512,48.4,6000,108,1,8,7,31084.0
3,64,57.7,4500,48,4,9,4,4051.0
6,128,32.6,6000,12,3,0,1,18208.0
12,256,29.8,3000,48,4,4,5,33135.0
6,256,24.7,6000,12,3,8,0,26286.0
6,64,10.1,3000,12,3,8,4,10662.0
6,256,34.8,3000,108,4,0,5,21124.0
6,128,17.3,6000,12,2,7,6,22172.0
6,128,55.4,3000,50,4,0,1,3503.0
6,64,35.4,4000,50,4,7,0,13536.0
12,32,36.0,3000,50,3,0,5,19339.0
3,256,21.9,5000,108,1,4,2,26290.0
4,128,4.1,3000,48,3,7,4,17299.0
12,128,2.9,5000,64,5,5,1,33304.0
8,256,26.0,3000,12,4,8,0,30705.0
6,256,6.0,3000,64,6,0,0,22625.0
6,64,36.8,6000,48,4,8,3,7828.0
4,128,53.0,4000,48,2,0,9,6035.0
4,64,53.1,4000,108,6,9,1,6399.0
6,256,39.9,4500,50,3,9,0,11220.0
4,128,13.5,6000,50,2,2,5,18368.0
6,512,51.9,6000,48,4,0,3,16365.0
3,32,53.3,4000,108,3,2,9,8038.0
12,32,12.6,6000,108,3,1,6,32228.0
12,64,44.5,4000,12,5,1,5,16007.0
6,64,17.9,6000,50,5,8,4,17852.0
6,64,48.4,3000,48,1,7,9,2577.0
4,512,59.8,4000,64,5,0,1,15801.0
8,64,2.8,4000,50,6,3,4,23978.0
6,64,53.9,5000,12,3,0,8,7698.0
4,256,37.7,6000,108,5,0,8,12517.0
12,128,58.4,6000,48,1,3,1,18471.0
8,256,28.4,4000,50,4,1,6,30731.0
12,32,51.0,3000,64,6,2,9,10447.0
8,128,4.7,3000,12,5,8,3,21055.0
6,32,20.8,3000,12,3,1,2,9424.0
6,32,5.0,6000,50,4,3,0,18997.0
12,512,58.5,5000,64,3,0,2,29608.0
8,64,49.2,4000,12,4,1,8,12468.0
3,128,51.3,4500,48,6,4,8,5476.0
3,128,56.3,5000,12,3,9,6,5999.0
4,64,6.0,4500,64,5,0,2,15189.0
8,256,23.8,5000,108,5,6,2,36787.0
12,32,5.2,3000,108,1,3,3,22721.0
4,128,13.4,6000,50,4,5,6,16993.0
6,512,14.5,4500,64,1,7,6,39438.0
4,128,28.7,5000,12,2,5,1,17556.0
12,512,16.8,6000,12,5,1,4,49871.0
8,32,7.0,4500,108,4,0,6,27157.0
8,128,10.9,4000,108,6,7,6,30517.0
6,64,9.7,5000,48,1,7,5,20185.0
6,256,58.4,4000,108,6,8,9,11080.0
4,512,45.8,3000,48,6,5,9,10478.0
3,64,58.1,4000,12,6,0,7,5454.0
8,128,26.9,4000,48,1,8,2,27304.0
8,64,17.4,5000,48,2,2,0,25550.0
12,128,48.1,3000,50,1,5,2,11654.0
12,128,20.2,4000,108,3,9,1,34383.0
6,512,18.7,6000,48,5,9,1,39397.0
8,128,14.7,4500,12,1,8,1,27486.0
12,64,8.7,4000,64,1,2,4,28939.0
8,64,16.1,3000,48,2,4,0,20281.0
4,64,22.0,4000,108,3,4,9,14090.0
6,64,40.8,4500,50,1,9,3,8269.0
4,64,4.7,3000,12,5,6,9,10571.0
12,256,13.4,5000,50,5,3,4,39400.0
6,128,48.7,3000,64,1,3,1,6877.0
4,128,9.7,5000,48,6,6,4,19377.0
6,64,21.2,3000,48,6,8,9,12721.0
6,256,52.0,4500,108,3,3,3,12878.0
4,256,10.1,4500,48,5,3,7,26273.0
4,32,5.9,3000,12,6,5,0,5590.0
6,256,29.6,4000,64,5,5,4,25602.0
6,128,18.8,4500,50,3,6,9,18302.0
8,32,34.2,5000,64,3,0,0,22991.0
6,128,48.4,5000,48,6,2,9,9559.0
8,128,9.1,6000,50,1,8,9,31184.0
6,64,35.3,5000,108,4,5,3,18354.0
6,512,30.8,6000,64,2,5,7,39349.0
8,256,9.5,3000,50,4,4,0,28810.0
6,128,37.8,3000,50,4,2,1,2500.0
4,128,17.1,3000,50,5,4,0,13032.0
3,128,29.8,4000,12,3,0,6,16284.0
8,128,5.9,4000,64,5,2,1,29214.0
6,128,28.1,6000,50,6,3,0,20324.0
8,32,19.1,5000,64,2,4,5,24208.0
4,128,49.5,5000,50,6,9,5,7388.0
4,256,4.4,3000,108,1,8,9,22384.0
3,128,25.7,4500,108,2,3,1,17577.0
4,32,28.0,4000,108,5,2,0,12448.0
6,256,43.8,4000,48,5,9,9,11856.0
4,64,34.9,3000,50,6,0,2,8164.0
6,64,40.4,4000,48,5,9,9,10118.0
12,64,46.8,3000,64,5,5,4,10678.0
4,64,51.9,6000,48,4,6,5,6406.0
6,256,19.5,5000,64,1,9,2,26774.0
8,128,32.7,4500,64,4,7,8,26629.0
4,64,50.6,5000,64,5,0,4,7307.0
6,256,59.4,5000,48,3,3,1,15102.0
8,256,53.5,6000,50,4,4,9,18929.0
12,256,22.9,4000,48,5,1,5,38381.0
